"Phoneme","Comprate","mask type "
"p","0.9105841885369260","ex"
"p","0.9196714212109940","ex"
"p","0.9407605235313941","ex"
"p","0.8251837451037400","ex"
"t","0.8990295289180780","ex"
"t","0.9723848127463540","ex"
"t","0.9836925927144320","ex"
"t","0.9351290676408910","ex"
"t","0.9732694556430550","ex"
"t","0.9751795760588829","ex"
"t","0.9565782254848150","ex"
"k","0.9725661428994120","ex"
"k","0.9766888084256050","ex"
"k","0.9912630435625330","ex"
"k","0.9093037835688120","ex"
"k","0.8881947123006020","ex"
"k","0.9849510989482280","ex"
"k","0.9405297176592790","ex"
"g","0.9791529643049010","ex"
"tS","0.9795468305575660","ex"
"tS","0.9455078298304180","ex"
"tS","0.9521624988736900","ex"
"dZ","0.9870226442930610","ex"
"dZ","0.8428593340254790","ex"
"dZ","0.9424426265911460","ex"
"dZ","0.4056947380148340","ex"
"f","0.9112784359789720","ex"
"f","0.8726563639051980","ex"
"v","0.9720005563894680","ex"
"v","0.9863802618782470","ex"
"v","0.9466436895107621","ex"
"T","0.6791435369859600","ex"
"D","0.9293917382429659","ex"
"s","0.9162482360730539","ex"
"s","0.8673673374719930","ex"
"s","0.8842254220788940","ex"
"s","0.9339378696437270","ex"
"s","0.9067261275672210","ex"
"s","0.9237260999290700","ex"
"s","0.9315566214168270","ex"
"s","0.8757570807447780","ex"
"s","0.9520483194250320","ex"
"s","0.9677825033859010","ex"
"s","0.9770435286521520","ex"
"s","0.8882706052377500","ex"
"s","0.8935245696586800","ex"
"s","0.9748513424235000","ex"
"s","0.9236709344843270","ex"
"s","0.9825080738031710","ex"
"s","0.9280252456723120","ex"
"s","0.9284238253548560","ex"
"s","0.9742907035930291","ex"
"s","0.9301991204269990","ex"
"s","0.8799676475834530","ex"
"s","0.9723979933076280","ex"
"s","0.9500848237087161","ex"
"s","0.9239207068310850","ex"
"s","0.9688800888490821","ex"
"s","0.8268321303485600","ex"
"s","0.9358121954436260","ex"
"s","0.9606449389346350","ex"
"s","0.9752485405548870","ex"
"z","0.9379876553604670","ex"
"z","0.9764229748288220","ex"
"z","0.9593917225388739","ex"
"z","0.9017296113392090","ex"
"z","0.8798833026240720","ex"
"z","0.8985626137126020","ex"
"z","0.9744124890579430","ex"
